,Movie,Year of release,Genre,Directed by,Starring,Synopsis,Duration in minutes,IMDB User Rating,Metascore from Metacritic
56,The Matrix Revolutions,2003,"['Action, Sci-Fi']","Lana Wachowski, Lilly Wachowski ","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving",['The human city of Zion defends itself against the massive invasion of the machines as Neo fights to end the war at another front while also opposing the rogue Agent Smith.'],129,6.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""731f0100-eb81-40bd-b2e7-96276d88979c"")>"
57,Edge of Tomorrow,2014,"['Action, Adventure, Sci-Fi']",Doug Liman ,"Tom Cruise, Emily Blunt, Bill Paxton, Brendan Gleeson","['A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.']",113,7.9,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""03a5360d-aa41-41f6-884d-43c52cf7e07d"")>"
58,Desperado,1995,"['Action, Crime, Thriller']",Robert Rodriguez ,"Antonio Banderas, Salma Hayek, Joaquim de Almeida, Cheech Marin",['Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.'],104,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""d0f176a5-525b-42ff-b408-fbc1d67a614b"")>"
59,The Mummy,1999,"['Action, Adventure, Fantasy']",Stephen Sommers ,"Brendan Fraser, Rachel Weisz, John Hannah, Arnold Vosloo","['At an archaeological dig in the ancient city of Hamunaptra, an American serving in the French Foreign Legion accidentally awakens a mummy who begins to wreak havoc as he searches for the reincarnation of his long-lost love.']",124,7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""82e36b19-e4f9-4f70-a1f7-d625c4e7862d"")>"
60,Skyfall,2012,"['Action, Adventure, Thriller']",Sam Mendes ,"Daniel Craig, Javier Bardem, Naomie Harris, Judi Dench","[""James Bond's loyalty to M is tested when her past comes back to haunt her. When MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.""]",143,7.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""721a58b8-53af-4dc1-995f-6e4693e5ca01"")>"
61,Deadpool,2016,"['Action, Adventure, Comedy']",Tim Miller ,"Ryan Reynolds, Morena Baccarin, T.J. Miller, Ed Skrein","['A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.']",108,8,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""5a60bb9b-1874-4d3e-bf79-84dc663c0f81"")>"
62,Man on Fire,2004,"['Action, Crime, Drama']",Tony Scott ,"Denzel Washington, Christopher Walken, Dakota Fanning, Radha Mitchell","['In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.']",146,7.7,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""898f4dc2-4a6a-46f7-900c-4d037253fff5"")>"
63,Ant-Man,2015,"['Action, Adventure, Comedy']",Peyton Reed ,"Paul Rudd, Michael Douglas, Corey Stoll, Evangeline Lilly","['Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, plan and pull off a heist that will save the world.']",117,7.3,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""ebdb5858-cd8f-477f-9918-d6073c3b263b"")>"
64,Lethal Weapon,1987,"['Action, Crime, Thriller']",Richard Donner ,"Mel Gibson, Danny Glover, Gary Busey, Mitchell Ryan",['Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.'],109,7.6,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""fc295571-1c30-422c-afd7-efab70bddfce"")>"
65,The Matrix Reloaded,2003,"['Action, Sci-Fi']","Lana Wachowski, Lilly Wachowski ","Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving","['Freedom fighters Neo, Trinity and Morpheus continue to lead the revolt against the Machine Army, unleashing their arsenal of extraordinary skills and weaponry against the systematic forces of repression and exploitation.']",138,7.2,"<selenium.webdriver.remote.webelement.WebElement (session=""a15bdcb771acd4fdd224ab4878594a1a"", element=""22ad9682-a075-4536-b952-0aac801d8e45"")>"
